4.331972450017929077e-03,8.476194925606250763e-03,1.082665085792541504e+00,-2.114089019596576691e-02,3.504178673028945923e-02,6.832370758056640625e-01,7.290488481521606445e-01,1.498709246516227722e-02,-3.759871795773506165e-02,7.214836031198501587e-02,-2.497397959232330322e-01,7.567483466118574142e-03,7.074127793312072754e-01,1.487555205821990967e-01,1.879310309886932373e-01,1.186958551406860352e+00,2.374086856842041016e+00,-1.788311451673507690e-01,-2.780146896839141846e-01,-2.329452522099018097e-02,7.075410485267639160e-01,1.584779322147369385e-01,-1.451726406812667847e-01,1.187400698661804199e+00,2.374964952468872070e+00
4.423014353960752487e-03,9.919630363583564758e-03,1.084616541862487793e+00,-3.468701243400573730e-02,4.857127740979194641e-02,6.827819943428039551e-01,7.281801700592041016e-01,1.056545227766036987e-02,-3.612205386161804199e-02,6.840079277753829956e-02,-2.935978174209594727e-01,7.599131204187870026e-03,7.141450643539428711e-01,1.133887991309165955e-01,1.864793598651885986e-01,1.221493005752563477e+00,2.443105220794677734e+00,-1.761074513196945190e-01,-3.204685747623443604e-01,-1.552279759198427200e-02,7.141458988189697266e-01,1.207292452454566956e-01,-1.434559673070907593e-01,1.221501588821411133e+00,2.443121433258056641e+00
4.581146873533725739e-03,1.027256157249212265e-02,1.084462642669677734e+00,-3.817404806613922119e-02,5.198671668767929077e-02,6.829562783241271973e-01,7.276062369346618652e-01,8.888086304068565369e-03,-3.481127321720123291e-02,6.701025366783142090e-02,-3.052974939346313477e-01,7.632740307599306107e-03,7.141659855842590332e-01,1.106367483735084534e-01,1.872539669275283813e-01,1.221660494804382324e+00,2.443450212478637695e+00,-1.782893538475036621e-01,-3.317888081073760986e-01,-1.235696580260992050e-02,7.141659855842590332e-01,1.177211105823516846e-01,-1.421271264553070068e-01,1.221660494804382324e+00,2.443450212478637695e+00
4.654224030673503876e-03,1.046886667609214783e-02,1.084449410438537598e+00,-3.910344094038009644e-02,5.276019498705863953e-02,6.833649873733520508e-01,7.271173596382141113e-01,7.884434424340724945e-03,-3.364781290292739868e-02,6.606451421976089478e-02,-3.082315921783447266e-01,7.847272790968418121e-03,7.141659855842590332e-01,1.118790581822395325e-01,1.886901855468750000e-01,1.221660614013671875e+00,2.443450450897216797e+00,-1.804272234439849854e-01,-3.343921601772308350e-01,-1.099146623164415359e-02,7.141659855842590332e-01,1.193698346614837646e-01,-1.413656026124954224e-01,1.221660614013671875e+00,2.443450450897216797e+00
4.819110501557588577e-03,1.068852748721837997e-02,1.084492444992065430e+00,-3.934099897742271423e-02,5.285752564668655396e-02,6.837474703788757324e-01,7.267377376556396484e-01,7.240569218993186951e-03,-3.273246437311172485e-02,6.502577662467956543e-02,-3.086893260478973389e-01,8.262737654149532318e-03,7.141659855842590332e-01,1.129674911499023438e-01,1.903070062398910522e-01,1.221660614013671875e+00,2.443450450897216797e+00,-1.818486750125885010e-01,-3.345700800418853760e-01,-1.025445945560932159e-02,7.141659855842590332e-01,1.205860376358032227e-01,-1.411200165748596191e-01,1.221660614013671875e+00,2.443450450897216797e+00
4.930307622998952866e-03,1.086219400167465210e-02,1.084517478942871094e+00,-3.938533365726470947e-02,5.273863300681114197e-02,6.840422749519348145e-01,7.264664769172668457e-01,6.841726601123809814e-03,-3.199274465441703796e-02,6.405307352542877197e-02,-3.084665834903717041e-01,8.722893893718719482e-03,7.141659855842590332e-01,1.136615723371505737e-01,1.916218101978302002e-01,1.221660614013671875e+00,2.443450450897216797e+00,-1.829048693180084229e-01,-3.341226577758789062e-01,-9.800802916288375854e-03,7.141659855842590332e-01,1.208487302064895630e-01,-1.412337422370910645e-01,1.221660614013671875e+00,2.443450450897216797e+00
5.016745068132877350e-03,1.098130363970994949e-02,1.084480404853820801e+00,-3.942596539855003357e-02,5.261983722448348999e-02,6.842656135559082031e-01,7.262625694274902344e-01,6.603480316698551178e-03,-3.123177960515022278e-02,6.336501240730285645e-02,-3.083282113075256348e-01,9.132338687777519226e-03,7.141659855842590332e-01,1.141020134091377258e-01,1.921907961368560791e-01,1.221660614013671875e+00,2.443450450897216797e+00,-1.838464587926864624e-01,-3.337887227535247803e-01,-9.433589875698089600e-03,7.141659855842590332e-01,1.204451620578765869e-01,-1.413966864347457886e-01,1.221660614013671875e+00,2.443450450897216797e+00
5.086090415716171265e-03,1.105818152427673340e-02,1.084438681602478027e+00,-3.951867669820785522e-02,5.259365960955619812e-02,6.844352483749389648e-01,7.260995507240295410e-01,6.482837721705436707e-03,-3.058970719575881958e-02,6.280682235956192017e-02,-3.084868788719177246e-01,9.416569955646991730e-03,7.141659855842590332e-01,1.140420883893966675e-01,1.919268667697906494e-01,1.221660614013671875e+00,2.443450450897216797e+00,-1.847027242183685303e-01,-3.337601423263549805e-01,-9.054774418473243713e-03,7.141659855842590332e-01,1.202638968825340271e-01,-1.411905139684677124e-01,1.221660614013671875e+00,2.443450450897216797e+00
5.120399408042430878e-03,1.106848008930683136e-02,1.084406852722167969e+00,-3.963968530297279358e-02,5.265482515096664429e-02,6.845558285713195801e-01,7.259748578071594238e-01,6.459507625550031662e-03,-3.003865294158458710e-02,6.223656609654426575e-02,-3.088769316673278809e-01,9.564322419464588165e-03,7.141659855842590332e-01,1.138460934162139893e-01,1.914588361978530884e-01,1.221660614013671875e+00,2.443450450897216797e+00,-1.855198144912719727e-01,-3.340240120887756348e-01,-8.693555369973182678e-03,7.141659855842590332e-01,1.205225735902786255e-01,-1.408573836088180542e-01,1.221660614013671875e+00,2.443450450897216797e+00
5.110099911689758301e-03,1.105997432023286819e-02,1.084427475929260254e+00,-3.984777629375457764e-02,5.283639580011367798e-02,6.847137212753295898e-01,7.258013486862182617e-01,6.474067457020282745e-03,-2.982717007398605347e-02,6.148037686944007874e-02,-3.095681667327880859e-01,9.604058228433132172e-03,7.141659855842590332e-01,1.139997839927673340e-01,1.910976022481918335e-01,1.221660614013671875e+00,2.443450450897216797e+00,-1.862458586692810059e-01,-3.345967233180999756e-01,-8.330451324582099915e-03,7.141659855842590332e-01,1.211483702063560486e-01,-1.407895088195800781e-01,1.221660614013671875e+00,2.443450450897216797e+00
